title,body,compensation,pay_amount,amount,email
Social Media Influencers promoters,"QR Code Link to This Post
            
        
Hiring social media people to promote our FREE PET TAG with a Free One Month Trial of Petnotify. This offer is good anywhere in the US.
Each rep will get their own unique offer code similar to mine below. You get paid for each customer free trial. Please read the ad I run below on social media.  We show you how easy the process is. Try the free offer to see if its something you wish to promote. 
My ad is below.

Offer code LQCllZH
To Order  
www.petnotify.com
Must enter offer code for free Pet Tag and Pet Light
Free Shipping
PLEASE SHARE on socialmedia
PET Notify is a great company that works with many humane society's helping protect pets with a great Pet Safety and Management app called Pet Notify. The founders are giving those that try one month for free. It normally is a super low price of $4.99 per month for all family pets.they ate also giving away one beautiful Jewelry Quality Pet Tag includes one free laser engraving of your pets name and phone number. For a limited time they are giving a free a pet light as well. Shipping is Free for the first 10,000 customers through the month of February 2020. All this for simply trying Pet Notify for a month at no cost to you.
We hope you like it and share with your friends on Facebook, Twitter Instagram, Snapchat and all social media pet sites and for sale sites.",compensation: Pay per free signup,-1, free signup,9cf9f6de4d4a33d0a889248fd8be1b2b@gigs.craigslist.org
Guys needed for video/photo modeling gigs,"QR Code Link to This Post
            
        
Males needed for on-going adult video/photo productions in San Diego. Collegiate, athletic, military looks. 18-28 y/o. Solo and duo work available. 
Good, same-day pay for easy work with a long-standing, reputable company. To apply, submit clear, current shirtless and face pics with stats (age, ht/wt, etc.)","compensation: Competitive, varies with shoot",-1,NA,ca70724e33103fd3b8ce12fa7de1e36f@gigs.craigslist.org
Social Media help needed,"QR Code Link to This Post
            
        
I recently moved to Irvine and I have 2 storage units with the things that could not fit in my new location. 
I need to go to one storage unit A.S.A.P. 
I need someone to come to my home in Irvine and get me on Let Go, offer up, instagram, Facebook, Mercari
and other platforms. Once I get rid of my stuff I have a child safety product that will be marketd worldwide and maybe you might want to be part of that. Use CL for first contact.
SORRY I DO NOT TEXT",compensation: $20 an hour cash the day you work,20,day,21ff6cb7883c378c8f10a193fdce2644@gigs.craigslist.org
PAID Photoshoot: Call for Female Models!,"QR Code Link to This Post
            
        
Photoshoot next month.
Call for Female Models:
PAID: 130.00 total.
Looking for models for raunchy photoshoot.
27 years old and older. No younger than 27. Include your age. All ages 27 and UP are welcome. 
Looking for ALL AGES 27 AND OLDER!!
YOU HAVE TO LIST YOUR AGE OR ELSE YOU WILL NOT RECEIVE A REPLY
Female Models ONLY. No Male Models
Email me if you are interested. Include contact info, resume and headshot or pictures available.",compensation: 130.00 total,130,NA,7daf1a6870a23e8ba0679c955c7419fe@gigs.craigslist.org
Female Jewelry Model for Etsy Store,"QR Code Link to This Post
            
        
If you are looking for an easy legit modeling job, that will fit in your schedule daytime, please message me! It's easy and no experience necessary. I'm a pro photographer and female, just started an Etsy store selling jewelry I make and need models to display my jewelry on Etsy.  I make necklaces and earrings...some pics will show faces and some not. I am open on age and your style, both young and mature.  As I get more sales, I will need more models as I will be producing more jewelry. Please visit my Etsy store at Etsy.com/shop/SolaniJewelry and explore Etsy to see what models are doing and what they're modeling in Jewelry. If  you are interested, please send me a couple photos of you and I will contact you. You will need some appropriate tops/blouses/jackets as well for different jewelry.  There will be no erotic pictures! If you have ideas on locations, let me know, I'm currently thinking Tempe Art Center as I've done photo shoots there that were great! Or maybe Old Town Scottsdale. You will get images for social media use and pay is $20 per hour paid at shoot, and a release for me to use on social media and on Etsy will be necessary. I'm very excited to get it going the first week of February! Cathy at Solani Jewelry.",compensation: $20 per hour paid at photo shoot,20,hour,b7e65a13557d334d801a5e9d7346d7d2@gigs.craigslist.org
Models wanted,"QR Code Link to This Post
            
        

We are looking for someone that’s interested in accompanying millionaire Hollywood entertainment managers, agents, and producers.

They are looking for young, pretty men and women. 
You will pay us nothing. 
What’s the catch? I am a writer. I have several friends that are comedians and actors. We need you, with your pretty smile to present our work to these managers, agents, and producers that we connect you with. Many of whom are the wealthiest sugar daddies in town. We don’t want anything to do with your business. If a contract is signed, we pay you 10%. If no contract is signed, you will have at least made a wealthy friend. It’s a win win for you.
If you want to connect with millionaires, please respond ASAP. We work under contract only.

Thanks",compensation: Commission. Sky is the limit,-1,NA,eriksbook@gmail.com
Seeking female model for vintage Levi's shoot,"QR Code Link to This Post
            
        
Hey there.

Looking to do a tfp shoot with a female model sporting a pair of vintage style Levi's. 

Depending on the vibe we decide on, we could go to a park for a more Bohemian thing, or maybe in the city for a more Urban feel.

But we can go over details of that later. 

Tons of modeling experience would be great, but not required. As long as you are serious about wanting to shoot. 
This will be a fun shoot we can both add to our ports.

If interested, hit me up, and please include your IG. If your account is set to private, then a selfie will be ok.

Thanks",no pay,-1,NA,6598f7f2babc3f4b816897b351526a6f@gigs.craigslist.org
Actress/model ages 18 to 28 wanted for Elvis Film Project,"QR Code Link to This Post
            
        
Interviewing now within these next 2 weeks.
Director is Casting an actress/model.
Interviews in Hollywood area.
Actress/model wanted 18 to 28 years age any nationality.
Film Shorts are ""G"" ratings in pre-production. Shooting in the end of February. Casting now.
Genres -
1. Comedy
2. Spiritual
Both with handsome Elvis lookalike and sound/singer alike.

Scripts need minor re-writes, depending on actress/model.
Singer a plus.
Please reply with name, headshot or zed card or photo, and number.",compensation: $100 per day plus meals. Minimum 5 days,100,day,429169791e1334ea846fb149fc20d670@gigs.craigslist.org
Looking for the next Super Model - Portfolio development,"QR Code Link to This Post
            
        
Female models, ages 18 to 25, 5' 7"" or taller, between 115 to 150 lbs looking to develop your portfolio for summer 2020. Here is your opportunity.
Shoot with multiple photographers in one venue on different sets and receive a copy of all your images before you leave.
Vintage and New wardrobe provided by clothing lines and sponsors.
Live Dj in the mix making a Fun and energetic atmosphere.
Full Bar for 21 and over
Fashion show and Catwalk.
Venue is a historic 1930s
Art Deco Theater
Please submit Bio and photos
For consideration",no pay,-1,NA,52d794e65f2c345aa9014407045b9f84@gigs.craigslist.org
"Anchor Woman, Models, Business Dev, Recruiter, Videographer, Marketing","QR Code Link to This Post
            
        
News Anchor Woman, Models, Business Development, Recruiter, Videographer, Marketing / News AssistantVery Important !

We only respond to candidates who Apply via our website.

For detailed Information or to Apply Online, visit our website below:
http://head-line-news.com/jobs-opportunities


Job Types: Part-time

News Staff Positions
Head-Line-News.com is a FREE Subscription based Internet Streaming Video service that broadcasts internationally a Live Adults Only version of the Headline news. The Live Newscasts are similar to Live Television Newscasts, but includes a unique twist.

We are offering the following positions. Both Daytime and Night positions are available and are dependent on our Broadcast schedule. Work up to 3 days a week 2-3 hours / day. If you have any questions, please contact us.

Below is a summary of the job offerings. For a detailed description of each job, refer visit our website.

$50 to $80 / hr - News Anchor Woman Positions
Acting as the News Anchor Woman, you would be informing the online viewers of the latest Headline news. You will be reading from a prepared script consisting of short paragraphs highlighting the daily top Head Line News stories. During the Newscast, you will be interacting with your partner. In addition, you will also have the opportunity to perform in our Headline News Reverse Broadcast Edition where the roles of the anchor team are reversed.

$80 / hour - Models / Actresses
Female Models / Actresses are needed for creating Promotional Materials for Head-Line-News.com. You will be posing for either photos or short 30-second sampler videos depicting the duties of the News Anchor Woman for marketing and advertising purposes. For a detailed description, refer to the ""Models / Actresses"" Job description on our website.

$20 / hour - Business Development Partner and Associate
We are currently looking for a Business Development Partner and Associate to help develop and expand our Headline News shows. We would like to broadcast our shows more frequently, hire additional talent, and invest more into the business. Responsibilities include but are not limited to: Managing the News Anchor Teams, Obtaining New Talent, Optimizing our News Shows, and Aid in providing the highest quality shows.

$100 / Candidate - Talent Recruiter
Responsible for acquiring new talent for both our News Anchor Woman team and also for finding Models / Actresses for marketing and advertising purpose. You will receive $100 for each candidate who participates in an audition. For a detailed description, refer to the ""Talent Recruiter"" job description on our website.

$20 / hour - Videographer / Photographer
You will be responsible for directing the live shows in terms of model position, maintaining proper lighting, and camera position during our Live news broadcasts. You will also be taking still photographs for use in Promotional Materials.

$18 / hour - Marketing / News Assistant
Responsibilities include marketing and advertising of our online Headline News shows, preparing the news scripts for the shows, and to assist the staff during our Live broadcasts. You will also be assisting in creation of marketing materials for Headline News.

Work Schedule
This is an ongoing newscast where you can rely on steady income. The work is guaranteed and this is an ideal opportunity to make great money working for just a few hours a week.

 • Flexible daytime and nigh-times available
 • 3 days a week, 2-3 hours a day
 • No experience required
 • Fun and friendly environment

Payment
 • You will be paid in Cash daily for your service.

Locations
 • San Fernando Valley and Santa Clarita Valley, California",compensation: See each individual job position for pay rate,-1, pay rate,hlnjobs@head-line-news.com
ATMOSPHERE MODELS FOR SUPER BOWL EVENT,"QR Code Link to This Post
            
        
We put together a yearly champagne tasting Super Bowl event on the westside  Sunday February 2 at 330 pm.  We utilize atmosphere models for mingling with guests ranging from movie producers, lawyers, doctors and CPAs. Typically we source from SURKUS and Craigslist in addition to traditional female invitees. You must be 18- 32 and be dressed in a cocktail dress. Those under 21 are not allowed to drink. We expect lively, bubbly personality and not someone glued to their phone. Pay is $75 for approximately 3 1/2 hours of work. It depends on the length of the  game. You are expected to remain until the finish. If it runs over significantly due to overtime , you will be paid more. This is a great opportunity to taste a variety of champagnes and food cooked by an Italian chef in a fun surroundings in an exclusive high rise building. Please respond with age, height , weight, contact phone number and multiple pics.",compensation: $75 for approximately 3 1/2 hours,75,hour,ffeba5ed0d543f39a98b529ad497dd4e@gigs.craigslist.org
NOW CASTING: MILITARY MALES FOR XXX MODEL/VIDEO WORK,"QR Code Link to This Post
            
        
Active Duty MILITARY MALES 18-30 wanted for
great paying $$$ Model/Video Work

Must be ATHLETIC 18-30

Completely discreet/professional

Reply with PICS, STATS, CONTACT INFO",compensation: minimum $625/per hour,625,hour,d0a8c753a4ab31e0b7d231b690377408@gigs.craigslist.org
Help setting up Instagram Shopping  Shopify store,"QR Code Link to This Post
            
        
I have a Shopify store, a Facebook page, and an Instagram account. I have not been successful, after repeated tries, in setting up my Instagram products for Instagram shopping. I need to enable shopping on Instagram for my shop's physical products and create product tags on Instagram. Facebook has many commerce policies which I believe my store's physical goods comply with, but I am not getting information back from Facebook on what the issues are.",compensation: based on skill level and initial consultation conversation,-1,NA,87ae315ecc20397da219a546fcd27847@gigs.craigslist.org
Social media manager for a TV talk show.,"QR Code Link to This Post
            
        
This is a non paid position for a non profit TV Chanel. 

Looking for a SS manager for a new TV talk show to manage 
Facebook Instagram YouTube accounts. We are looking for somebody to monitor , moderate and respond to audience comments, manage social media partnerships with other brands, create and post shareable videos and images. 

We are shooting two episodes a month. It’s a part time position that probably will require 3 to 5 hours a week commitment. We can discuss the format of our work together. 
We are looking for a creative person who wants to expand the resume , get a real TV credit and create a show with a great content. 
The show is an interview talk show format about difficult and controversial subjects. We want to make it light and funny and interesting.",no pay,-1,NA,0a9fbec702403bbeadfa58582968211c@gigs.craigslist.org
Male Models For Upcoming Fashion Brand,"QR Code Link to This Post
            
        
Start-up menswear line in need of male models that aren’t afraid of bold colors and mixing patterns. #dandy #contemporary 

Serious inquires only. An interest in fashion REQUIRED. Seeking to hire part-time/on call with flexible schedule or weekends, starting at $20-30/hr; no experience necessary. Must be at least 18yrs of age, 21+ preferred. Studio is located in Pilsen. 

Models will be measured for custom suit jacket, vest, and dress shirt prototypes. This can take up to three fittings. Currently looking for chest sizes 36-42, no height requirement (S,R,T/L). 

Please reply with “Menswear Fashion” in the subject line. Along with one current photo, and the answers to the questions below. 

Which designer(s) or brands do you like?
What is your availability?
Height? (for preparation purposes)

I look forward to hearing from you!

Thanks,

Ron",compensation: Starting at $20-30/hr; Based on experience,20,hr,a33f5fe24c0c38539b1ae0f6a78d67fb@gigs.craigslist.org
Promo Models Wanted,"QR Code Link to This Post
            
        
BookModels, a New online modeling platform, is seeking models of all genders and sizes for the 2020 festival, trade show, and expo season.

Festival models wanted for events that may include but not limited to NC intl auto expo, bonnaroo, carolina country music and more.

No experience is necessary. These are 1099 independent contractor positions.

Visit https://www.festivalmodels.com",compensation: $15-$50+/hr - Varies by event & model type,15,hr,16677b381f10308ea5bda5652faacfe3@gigs.craigslist.org
Upstate SC Model needed,"QR Code Link to This Post
            
        
I am an amatuer photographer seeking a female who desires some photos of herself. I am hoping to one day make my hobby a profession. I can take any type you need. Thank you. I can also compensate.",compensation: $100 per hour session,100,hour,0baf690a99ca3c8f8f8ac171a0c03be5@gigs.craigslist.org
FEMALE ADULT WEB CAM MODEL WANTED,"QR Code Link to This Post
            
        
LOOKING FOR FEMALE ADULT WEB CAM MODELS WHO WANT A PRIVATE PLACE TO WORK.  WE PROVIDE COMPUTER, CAMERA EQUIPMENT, AND A SAFE, PRIVATE WORK ENVIRONMENT. PLEASE SEND MULTIPLE PICS...AGE/LOCATION AND ANY EXPERIENCE OR QUALIFICATIONS. (MUST BE 18 OR OVER)",compensation: $50-$100 PER HOUR,50,hour,3c6b4f666d1436d4996d972ff40f1f1d@gigs.craigslist.org
Hiring models for ae,"QR Code Link to This Post
            
        
Beautiful and open mind women needed for special bookings. 
If interested please email us, contact information and 3 pictures 
This is an AE/SW position. 
You will need a valid I.D. 

Start booking as soon as tomorrow

All Disclosed bookings, NO PERMIT NEEDED!
Transportation also provided if needed.
Great working location Buckhead/downtown area

*Inquiries without photos will not be considered. 
*Please have valid Identification upon request. 

Once we receive your information a representative from our team will reach out to you as soon as possible with more information about the company.",compensation: $1000,1000,NA,5d6c3ed1bdf33e1abc6141700b4ff5e7@gigs.craigslist.org
Models wanted for Fashion Photoshoot,"QR Code Link to This Post
            
        
Looking for a few female models aged 20s-40s for a fashion collection photoshoot. Any level of experience is fine, but must be 18+ and comfortable behind the camera. Some swimwear will be included, but it will be a fully clothed shoot to showcase garments on our website and social media. Must be available next Saturday Feb 1st during the day... start time is TBD but we will wrap by 4:30pm so you can keep those evening plans! 

If interested, please send an email with your name, contact info, and a few photos of yourself. Looking forward to meeting you soon!",no pay,-1,NA,feab12ab5228319eba3159cf83712e8c@gigs.craigslist.org
MODEL CASTING CALL,"QR Code Link to This Post
            
        
CALLING ALL RUNWAY MODELS!!
The search is on for models in the NYC area for an upcoming fundraising fashion show. Males & females 18 & over are encouraged to come out!

Sunday, February 2, 2020
3:00pm-6:00pm

104 West 14th street
New York, NY 10011

Please RSVP using this link: www.wlmodelsearch.eventbrite.com

Dress Code
Males: jeans and fitted t-shirt
Females: leggings and tank top; bring heels; fresh face (no makeup)

Please bring a head shot and comp card. If those are not available, please be ready to share your measurements and sizes with our staff.

We can't wait to see you all!",no pay,-1,NA,45fa4b34e4aa36bd89e6a5d605db7976@gigs.craigslist.org
Male models for wrestling,"QR Code Link to This Post
            
        
Seeking male models for wrestling matches.  Please have at least some experience with wrestling or other combat sports.  Compensation to be discussed.  Texts OK, 917-909-6771","compensation: Yes, to be discussed.",-1,NA,55ccaa32a94c382189ebd6b649811444@gigs.craigslist.org
Models Needed,"QR Code Link to This Post
            
        
Seeking female models 18+ for adult themed shoots. No experience necessary.
 
This is a unique opportunity for the right candidate to learn how to be your own boss.

Top earners make over 10,000 per month.  Yes, you could make six figures this year and be your own boss!  That's not an exaggeration by any means.

You're face does not have to be revealed in the shot and you can remain anonymous.
Set your own schedule.  Work as much or as little as you want.

Please reply via email for more details.",compensation: TBD,-1,NA,ab0f7720519a3209838d39d576d25941@gigs.craigslist.org
Caucasian/European Female Model Needed for a Test Shoot,"QR Code Link to This Post
            
        
Hello,

We need a Caucasian/European female model for a Beauty Shoot this Saturday 02/01/2020. This will be series of Beauty/High Fashion Makeup & Hair looks. This is a great opportunity for you to update your portfolio.

**This is not a paid shoot. This is a test for portfolio which means you will receive all your photos for your time**

You must fit the following descriptions to be considered:

Model Requirements:
Must be 16-25 years old
Must have a model look (slim/skinny)
Must have good skin
Hair must be healthy & manageable
Please send recent images of yourself with no makeup and/or your Instagram page 

Please send us a phone number or email address where we can contact you if you are chosen for the shoot. 


Test, testing, collaboration, tfp, test for portfolio, time for prints, photography, photographer, modeling, model, shoot, portfolio, photos, pictures, beauty, fashion, runway, editorial, commercial, makeup, hair, make-up, beauty, Instagram",no pay,-1,NA,c1d855e414de35bd836945e943a55cec@gigs.craigslist.org
Female models needed,"QR Code Link to This Post
            
        
New company looking for models to shoot adult scenes. This is a paid gig.  Must be comfortable on camera and have willingness to work and be part of a new venture. If you are too shy this job is not for you. Please respond with full body photo as well as head shot. Also include why you think you would be a good fit.",compensation: $200 per shoot,200, shoot,cebe8b6e796c30e9a2fff2ad333fc968@gigs.craigslist.org
Male Models,"QR Code Link to This Post
            
        
I'm a Photographer looking to expand my portfolio. I'm looking for several amateur adult male models.

This is a paid gig.

***Important***
All models must be: Male | 21 and over | have a valid from of ID.

If you are interested please include:
- 2-3 recent photos.
- Contact Info.",compensation: varies,-1,NA,6a71215c85583f529bf7ffc1f3335d54@gigs.craigslist.org
$1650 Job Total Hair Event for Hair Color - Local Hair Models WANTED,"QR Code Link to This Post
            
        
Models will be booked by photos.
We need models 5'8"" and taller Dress Size 0-4
Models should walk well in heels.
Submit one head shot and one profile image along with your first name and model stats.
We need one 1 red.  1 blond. 1 brunette with dimension
Open to color ( models are going to stay in their color range )

Prep day : February 6 & 7
Show day : February 8 & 9

Models must Book as local – no pay for lodging or travel.

$1650.00 Job total for 4 all days",compensation: $1650.00 Job total for 4 all days,1650,day,621a25d829123b28a74a49a77bf29993@gigs.craigslist.org
$300 a day ; Exotic Dancers (bikini models),"QR Code Link to This Post
            
        
Our models that work with us make at least 300 a day, please give me a text with name and the best time to give you a call; along with your Instagram or few pictures of you have one.

This is a club gig that does not involve explicit dancing; you keep all your tips.

My contact number is 2768068810",compensation: Miami Beach,-1,NA,7ba4efed9bb5350788c46eafc49f59c0@gigs.craigslist.org
"Personal Assistant, Data Entry, Secretarial & Cleaning Job","QR Code Link to This Post
            
        
Seeking a reliable personal assistant for computer data entry projects, cleaning around the apartment and business paperwork processing/organization.  I own an alternative healthcare school and have random projects that also become available from time-to-time.  Candidates must:

- Type of minimum of 30 words per minute
- Be professional, organized, punctual, reliable, etc.
- Be able to follow instructions and be accurate and quick with work
- No smoking, drugs or drinking at job
- Cannot be allergic to pets
- Must speak, read and write perfect English (bilingual Spanish is a bonus)

Work responsibilities will include:
- Reading hand-written student reviews and posting them online
- Copying and pasting data-entry on the computer
- Sorting school paperwork
- General cleaning around the apartment (if extra hours are wanted/needed)

Extra bonus project work includes:
- Pet feeding when owner is out-of-town
- Proof reading courses
- Putting together workbooks
- Personal contact with students, etc.

CANDIDATES MUST LIVE WITHIN 30 MINUTES OF SOUTH BEACH MIAMI.

Work hours are flexible as long as candidate can show on-time for scheduled hours.  There are many projects available right now so we are not listing this as a full-time or part-time job.  The work will simply be available and continue as long as the candidate does a good job with it and/or when all of the projects are completed (some are ongoing).

Pay is $15/hour cash for candidates who meet our qualifications and accept all work responsibilities.  

Please submit a RESUME for consideration (we cannot consider candidates without resumes).  Thank you.

NO RECRUITERS WILL BE ACCEPTED!!!",compensation: $15/HOUR CASH,15,hour,03566b44332637caa8390912e38b8c80@gigs.craigslist.org
Models needed for photo shoot,"QR Code Link to This Post
            
        
Models needed for photo shoot for online boutique ( IG @Crave.Lyfe).  Women only, at least 5'6.  Will model swimsuits, cover ups, dresses, tops, skirts, etc...

Shoot is in downtown Miami on 2/16.  Expected time 2-3 hours.

Please send photos (full length)/head shots through IG @crave.lyfe.  NO NUDES!  Please also send hourly rate.",compensation: $40+,40,NA,064ef073c2093a63a9be2ab3904077f2@gigs.craigslist.org
Fashion/Streetwear Photographer Looking for Models,"QR Code Link to This Post
            
        
Hello, aspiring or professional models in the Bay Area (preferably East Bay), or anyone who knows any models, male or female! 

My name is Jack. I love art, fashion, and design. I work a full-time job as a creative manager in Pleasanton, but in my spare time I also design jewelry, t-shirts, and more. Please take a look at my attached photos I've taken for my brand and also for fun. I shoot with a Sony A7RII mirrorless camera and various lenses. I'm looking for models to work with consistently for practice developing my style, and also potentially to take photos for my brand Jack's Cool Stuff (@jackscoolstuff on instagram). This would be a great opportunity to develop a modeling portfolio and experience, but I am also willing to pay depending on experience.

Please email me with a few modeling photos and description if you are interested or have a referral.

Thanks,
Jack",compensation: Depending on experience,-1,ience,2eac56445d7b357b9abc9d0ecc83ec0a@gigs.craigslist.org
Hiring Assistant for Social Media Campaign,"QR Code Link to This Post
            
        
Hi there,

I run a local digital marketing agency and am looking for a short-term social media assistant to help with a client project.

No experience necessary, great for someone who wants to make some quick money and get their feet wet in digital marketing. 

**Must have a San Jose, CA address. Do not apply if you don't have one, you will not be accepted.

I'm looking for assistance immediately and only need one person, so if you are interested shoot me an email today!

Thanks!",compensation: $35 per short term assignment,35, short term assignment,9562d845e180326db7cabbad79cf59dc@gigs.craigslist.org
Social Media Assistant Wanted,"QR Code Link to This Post
            
        
Hi there,

I run a local digital marketing agency and am looking for a short-term social media assistant to help with a client project.

No experience necessary, great for someone who wants to make some quick money and get their feet wet in digital marketing. 

**Must have a Santa Rosa, CA address. Do not apply if you don't have one, you will not be accepted.

I'm looking for assistance immediately and only need one person, so if you are interested shoot me an email today!

Thanks!",compensation: $35 per short term assignment,35, short term assignment,dec79ddccd6d336dbd7e09309f30246b@gigs.craigslist.org
Instagram video/photo creators,"QR Code Link to This Post
            
        
Looking for women to create IG ""try on haul"" videos/photos (stories and posts) for online boutique (@Crave.Lyfe).  Must live in central Miami (downtown, Brickell, coral gables, coconut grove, South Beach, Wynwood, etc...).  Clothes/accessories will be delivered to you and picked up.  Videos and photos will be posted on the brand IG account and potentially used in ads and on the website.  

If interested, please send IG handle and per post rate.  No agencies.",compensation: $0+,-1,NA,ffa9bf2c930432b8b7baaaac153931e8@gigs.craigslist.org
TikTok+Instagram+Snapchat and social media girly assistant,"QR Code Link to This Post
            
        
Thanks for your interest! 
All you need is your phone to do this job. Work from home, however, once in a while from our office. 
Do you like spending time on social media and on your phone? 
Do you like before and after pictures on Pinterest, remodels, making a house beautiful? 
TV shows like Fixer Upper? 
Have a passion for real estate, houses? 

This is one of the easiest jobs you will do, our clients are from all over the country (travel opportunities!). We handle their investments such as apartment complexes and even their digital presence. 

At times we will do some cleaning and painting to get a property ready to sell or rent. 


We are looking for a girly girl to engage audiences through social media, messages and calls, also loves interior decorating, design, making things beautiful and GIRLY:) and of course taking pictures of everything while having fun!. 

Please text me asap so we can discuss details. 
Thank you

904-372-8931‬",compensation: good pay based on experience,-1,ience,c7284fc1738c355a8ac9c8eff9584754@gigs.craigslist.org
Business Social Media Marketing Expert Needed,"QR Code Link to This Post
            
        
- Looking for someone that can help me post my Cars on Facebook Market place

 - I want to post my cars on FB market place though my business page. I usually post thru my personal page but moving forward I would like to post it through the business and not my personal page

 - Have all inventory active on my FB page and IG. I would like to post my sold inventory up as well

 - Integrate FaceBook and Instagram 

 - Get tips on how to develop more followers on IG for my business page

 - More Importantly I am also looking to exercise others forms of Social Media and person must be able to present ideas to help develop business  
Pinterest
SnapChat
YouTube
Twitter
Whatsapp 
LinkedIn 
TikTok 
Yelp
Tumblr etc.. 

Who ever is interested can contact me and must be able to meet me here at my office
My dealer is located by the FL mall

If things work out I may consider hiring part time

Contact me by via text or call 
If you would like to email me a resume I will take a look at it and consider hiring part time",compensation: 10 an hour,-1,hour,54aba4dc1d7338f7ab211eb63de54836@gigs.craigslist.org
